id,observed_on,time_observed_at,quality_grade,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name
1521767,21/5/15,2015-05-21 04:54:45 UTC,research,"52 West Coast Crescent, West Coast, Singapore, SG",1.299003,103.766367,162,162,,,FALSE,,,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
1521769,21/5/15,2015-05-21 10:12:26 UTC,research,"Clementi Woods, West Coast, Singapore, SG",1.299497,103.767783,500,500,,,FALSE,,,Common Indian Toad,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,62345,Anura,Bufonidae
1521796,21/5/15,2015-05-21 01:35:00 UTC,research,international community school singapore,1.306845,103.766291,212,212,,,FALSE,,,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
1522196,22/5/15,2015-05-21 22:32:02 UTC,research,"217 Lagos Circle, Sembawang, Singapore, SG",1.455246,103.827719,474,474,,open,FALSE,,,Asian Common Toad,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,62345,Anura,Bufonidae
1523319,22/5/15,2015-05-22 08:42:43 UTC,research,"138A Kim Seng Road, River Valley, Singapore, SG",1.29485,103.832714,10,10,,open,FALSE,,,Rotwangenschmuckschildkröte,Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,Testudines,Emydidae
1523643,22/5/15,2015-05-22 10:47:10 UTC,research,,1.350022543,103.8654426,65,31446,,obscured,TRUE,,,Common Treeshrew,Tupaia glis,Common Treeshrew,Mammalia,46283,Scandentia,Tupaiidae
1523712,22/5/15,2015-05-22 10:27:12 UTC,research,"International Community School, West Coast, Singapore, SG",1.307026,103.766267,19,19,,,FALSE,,,Plantain Squirrel,Callosciurus notatus,Plantain Squirrel,Mammalia,45945,Rodentia,Sciuridae
1558617,16/5/15,,research,,1.305335453,103.8086847,,31447,,obscured,TRUE,,,Crab-eating Macaque,Macaca fascicularis,Long-tailed Macaque,Mammalia,43459,Primates,Cercopithecidae
1582003,24/4/14,,research,Singapore,1.336022,103.80003,6334,6334,,open,FALSE,,,Lipinia vittigera,Lipinia vittigera,Banded Lipinia,Reptilia,38122,Squamata,Scincidae
1618967,12/7/08,2008-07-12 02:13:00 UTC,research,Singapore Quarry,1.356865,103.771858,212,212,,open,FALSE,,google,Many-lined Sun-skink,Eutropis multifasciata,Common Sun Skink,Reptilia,38008,Squamata,Scincidae
1619411,4/10/08,2008-10-04 08:03:00 UTC,research,Sungei Buloh Wetland Reserve,1.44672,103.730149,212,212,,,FALSE,,google,Plantain Squirrel,Callosciurus notatus,Plantain Squirrel,Mammalia,45945,Rodentia,Sciuridae
1622026,21/2/09,2009-02-21 02:39:00 UTC,research,Lower Peirce,1.371358,103.821101,719,719,,open,FALSE,,manual,Southeast Asian Water Monitor,Varanus salvator macromaculatus,Southeast Asian Water Monitor,Reptilia,39402,Squamata,Varanidae
1622027,21/2/09,2009-02-21 02:19:00 UTC,research,Lower Peirce,1.370015,103.823075,575,575,,,FALSE,,manual,Lesser Mousedeer,Tragulus kanchil,Lesser Oriental Chevrotain,Mammalia,75193,Artiodactyla,Tragulidae
1626588,11/3/10,2010-03-11 09:07:00 UTC,research,Admiralty Park,1.449277,103.778976,647,647,,,FALSE,,google,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
1626594,11/3/10,2010-03-11 09:05:00 UTC,research,,1.577473583,103.7119425,647,31446,,obscured,TRUE,,google,Long-tailed Macaque,Macaca fascicularis,Long-tailed Macaque,Mammalia,43459,Primates,Cercopithecidae
1626597,11/3/10,2010-03-11 08:12:00 UTC,research,Admiralty Park,1.449277,103.778976,647,647,,open,FALSE,,google,Rotwangenschmuckschildkröte,Trachemys scripta elegans,Red-eared Slider,Reptilia,51271,Testudines,Emydidae
1630083,26/2/11,2011-02-26 08:37:00 UTC,research,Pasir Ris Farmway 3,1.387661,103.930857,129,129,,open,FALSE,,manual,Striped Keelback,Xenochrophis vittatus,Striped Keelback,Reptilia,28049,Squamata,Colubridae
1630288,31/12/11,2011-12-31 10:17:00 UTC,research,"Pulau Punggol, Singapore",1.422583,103.886461,326,326,,,FALSE,,manual,Painted Bronzeback,Dendrelaphis pictus,Painted Bronzeback,Reptilia,26644,Squamata,Colubridae
1631729,3/2/09,2009-02-03 08:10:00 UTC,research,,1.416908561,103.7365306,326,31446,,obscured,TRUE,,manual,Crab-eating Macaque,Macaca fascicularis,Long-tailed Macaque,Mammalia,43459,Primates,Cercopithecidae
1631730,3/2/09,2009-02-03 07:54:00 UTC,research,Admiralty Park,1.44575,103.781404,326,326,,,FALSE,,manual,Oriental Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
1637315,13/5/14,2014-05-13 04:45:00 UTC,research,Singapore Zoo,1.404349,103.793023,643,643,,,FALSE,,google,Sunda Flying Lemur,Galeopterus variegatus,Sunda Colugo,Mammalia,74351,Dermoptera,Cynocephalidae
