No.,Order,Family,Genus,Species,Common name,Origin,Global IUCN status,RDB2 status,RDB3 status
60,Chiroptera,Emballonuridae,Taphozous,longimanus,Long-winged Tomb Bat,Native,LC,Not Listed,CR
61,Chiroptera,Emballonuridae,Taphozous,melanopogon,Black-bearded Tomb Bat,Native,LC,EN,LC
62,Chiroptera,Nycteridae,Nycteris,tragata,Malayan Slit-faced Bat,Native,NT,CR,CR
63,Chiroptera,Molossidae,Chaerephon,plicata,Asian Wrinkle-lipped Bat,Native,LC,Not Listed,NEx
64,Chiroptera,Molossidae,Cheiromeles,torquatus,Naked Bat,Native,LC,CR,CR
65,Chiroptera,Vespertilionidae,Hypsugo,macrotis,Big-eared Pipistrelle,Native,DD,Not Listed,CR
66,Chiroptera,Vespertilionidae,Kerivoula,hardwickii,Hardwicke’s Woolly Bat,Native,LC,Not Listed,CR
67,Chiroptera,Vespertilionidae,Murina,suilla,Lesser Tube-nosed Bat,Native,LC,CR,CR
68,Chiroptera,Vespertilionidae,Myotis,horsfieldii,Horsfield’s Myotis,Native,LC,Not Listed,LC
69,Chiroptera,Vespertilionidae,Myotis,muricola,Asian Whiskered Myotis,Native,LC,Not Listed,LC
70,Chiroptera,Vespertilionidae,Pipistrellus,javanicus,Javan Pipistrelle,Native,LC,Not Listed,LC
71,Chiroptera,Vespertilionidae,Pipistrellus,stenopterus,Narrow-winged Pipistrelle,Native,LC,CR,LC
72,Chiroptera,Vespertilionidae,Scotophilus,kuhlii,Lesser Asian House Bat,Native,LC,Not Listed,LC
73,Chiroptera,Vespertilionidae,Tylonycteris,fulvida,Lesser Bamboo Bat,Native,NA,CR,VU
74,Chiroptera,Vespertilionidae,Tylonycteris,malayana,Greater Bamboo Bat,Native,LC,Not Listed,VU
75,Perissodactyla,Tapiridae,Tapirus,indicus,Malayan Tapir,Vagrant,EN,Not Listed,Not Applicable
76,Proboscidea,Elephantidae,Elephas,maximus,Asian Elephant,Vagrant,EN,Not Listed,Not Applicable
77,Cetacea,Delphinidae,Orcaella,brevirostris,Irrawaddy Dolphin,,EN,Not Listed,CR
78,Cetacea,Delphinidae ,Pseudorca , crassidens,Indo-Pacific False Killer Whale ,,NT ,Not Listed ,Not Evaluated 
79 ,Cetacea,Delphinidae ,Sousa , chinensis,Indo-Pacific Humpbacked Dolphin ,, VU,EN ,CR 
80 ,Cetacea,Delphinidae ,Tursiops , aduncus,Indo-Pacific Bottlenose Dolphin ,, NT,Not Listed ,CR 
81 ,Cetacea,Phocoenidae ,Neophocaena , phocaenoides,Finless Porpoise ,, VU,CR ,CR 
82 ,Cetacea,Physeteridae ,Physeter, macrocephalus,Sperm Whale ,, EN,Not Listed ,Not Evaluated 
83 ,Sirenia ,Dugongidae,Dugong, dugon,Dugong,, VU,CR ,CR 
