order,family,scientific_name,common_name,rdb2_status,rdb3_status
Squamata,Gekkonidae,Cosymbotus craspedotus,Frilly Gecko,CR,CR
Squamata,Gekkonidae,Luperosaurus browni,Flap-legged Gecko,CR,CR
Squamata,Gekkonidae,Gekko kuhli,Kuhl's Gliding Gecko,CR,CR
Squamata,Scincidae,Dasia grisea,Brown Tree Skink,EN,VU
Squamata,Scincidae,Dasia olivacea,Olive Tree Skink,EN,CR
Squamata,Scincidae,Emoia atrocostata,Mangrove Skink,EN,CR
Squamata,Scincidae,Eutropis rugifera,Rough-scaled Sun Skink,EN,VU
Squamata,Scincidae,Lipinia vittigera,Striped Tree Skink,EN,EN
Squamata,Scincidae,Tytthoscincus temasekensis,Swamp Skink,CR,EN
Squamata,Varanidae,Varanus dumerili,Dumeril's Monitor,Not Listed,CR
Squamata,Typhlopidae,Ramphotyphlops lineatus,Lineated Blind Snake,Not Listed,CR
Squamata,Typhlopidae,Argyrophis muelleri,White-bellied Blind Snake,CR,CR
Squamata,Cylindrophidae,Cylindrophis cf. ruffus,Red-tailed Pipe Snake,CR,VU
Squamata,Colubridae,Ahaetulla fasciolata,Speckle-headed Whip Snake,CR,CR
Squamata,Colubridae,Ahaetulla mycterizans,Big-eyed Whip Snake,CR,VU
Squamata,Colubridae,Boiga cynodon,Dog-toothed Cat Snake,EN,VU
Squamata,Colubridae,Boiga drapiezii,White-spotted Cat Snake,Not Listed,CR
Squamata,Colubridae,Boiga jaspidea,Jasper's Cat Snake,CR,CR
Squamata,Colubridae,Calamaria lumbricoidea,Variable Reed Snake,EN,EN
Squamata,Colubridae,Calamaria lovi gimletti,Gimlet’s Reed Snake,Not Listed,EN
Squamata,Colubridae,Dendrelaphis haasi,Haas' Bronzeback,Not Listed,CR
Squamata,Colubridae,Dendrelaphis formosus,Elegant Bronzeback,EN,VU
Squamata,Colubridae,Dendrelaphis cyanochloris,Blue Bronzeback,Not Listed,EN
Squamata,Colubridae,Lycodon subannulatus,Malayan Bridle Snake,EN,EN
Squamata,Colubridae,Dryophiops rubescens,Keel-bellied Whip Snake,CR,EN
Squamata,Colubridae,Gonglyosoma baliodeirum,Orange-bellied Ringneck,EN,EN
Squamata,Colubridae,Gonyosoma oxycephalum,Red-tailed Racer,EN,VU
Squamata,Colubridae,Lycodon subcinctus,Banded Wolf Snake,CR,CR
Squamata,Colubridae,Oligodon purpurascens,Brown Kukri Snake,CR,CR
Squamata,Colubridae,Oligodon signatus,Barred Kukri Snake,CR,EN
Squamata,Colubridae,Ptyas carinata,Keeled Rat Snake,Not Listed,VU
Squamata,Colubridae,Ptyas fusca,White-bellied Rat Snake,EN,VU
Squamata,Colubridae,Sibynophis melanocephalus,Black-headed Collared Snake,EN,VU
Squamata,Colubridae,Xenelaphis hexagonatus,Malayan Brown Snake,EN,CR
Squamata,Paretidae,Asthenodipsas laevis,Smooth Slug Snake,Not Listed,CR
Squamata,Homalopsidae,Cantoria violacea,Cantor's Water Snake,CR,EN
Squamata,Homalopsidae,Fordonia leucobalia,Crab-eating Water Snake,EN,EN
Squamata,Homalopsidae,Gerarda prevostiana,Gerard's Water Snake,EN,EN
Squamata,Homalopsidae,Homalopsis buccata,Puff-faced Water Snake,VU,VU
Squamata,Homalopsidae,Phytolopsis punctata,Blackwater Mud Snake,Not Listed,CR
Squamata,Homalopsidae,Raclitia indica,Selangor Mud Snake,Not Listed,CR
Squamata,Natricidae,Rhabdophis rhodomelas,Blue-necked Keelback,EN,VU
Squamata,Natricidae,Psammodynastes pictus,Painted Mock Viper,CR,CR
Squamata,Natricidae,Xenochrophis maculatus,Spotted Keelback,VU,VU
Squamata,Natricidae,Xenochrophis trianguligerus,Triangle Keelback,CR,CR
Squamata,Elapidae,Bungarus fasciatus,Banded Krait,EN,VU
Squamata,Elapidae,Calliophis bivirgatus,Malayan Blue Coral Snake,VU,VU
Squamata,Elapidae,Ophiophagus hannah,King Cobra,EN,VU
Squamata,Elapidae,Laticauda colubrina,Yellow-lipped Sea Krait,EN,VU
Squamata,Viperidae,Trimeresurus purpureomaculatus,Shore Pit Viper,EN,VU
Squamata,Elapidae,Aipysurus eydouxii,Marbled Sea Snake,Not Listed,EN
Squamata,Elapidae,Hydrophis hardwickii,Hardwicke's Sea Snake,Not Listed,EN
Squamata,Elapidae,Hydrophis platurus,Yellow-bellied Sea Snake,Not Listed,EN
